#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
DYNC1I2	ACTR1A	9606.ENSP00000380308	9606.ENSP00000358921	0	0	0	0	0.067	0.909	0.800	0.097	0.982
DYNC1I2	TUBA1C	9606.ENSP00000380308	9606.ENSP00000443475	0	0	0	0	0.080	0.362	0.650	0.147	0.801
EFNA4	FGFR2	9606.ENSP00000414378	9606.ENSP00000410294	0	0	0	0	0	0	0.650	0.233	0.720
EGFL8	PPT2	9606.ENSP00000378888	9606.ENSP00000354608	0	0.214	0	0	0.249	0.045	0	0.550	0.712
EGFL8	GPSM3	9606.ENSP00000378888	9606.ENSP00000364183	0	0	0	0	0	0.071	0	0.720	0.729
EGR3	NAB1	9606.ENSP00000318057	9606.ENSP00000336894	0	0	0	0	0.042	0.094	0	0.949	0.952
EHBP1	PDLIM5	9606.ENSP00000263991	9606.ENSP00000480359	0	0	0	0	0.075	0.127	0.540	0.328	0.717
EHMT2	SETDB1	9606.ENSP00000379078	9606.ENSP00000271640	0	0	0	0.555	0.102	0.314	0	0.948	0.965
EHMT2	SLC22A3	9606.ENSP00000379078	9606.ENSP00000275300	0	0	0	0	0.053	0.045	0	0.796	0.799
EHMT2	SLC22A2	9606.ENSP00000379078	9606.ENSP00000355920	0	0	0	0	0.053	0.045	0	0.732	0.737
EHMT2	PCGF6	9606.ENSP00000379078	9606.ENSP00000358862	0	0	0	0	0	0.045	0.500	0.538	0.760
EIF4A1	RPL7L1	9606.ENSP00000293831	9606.ENSP00000418221	0	0	0	0	0.628	0.159	0	0.127	0.703
EIF4A1	MKNK1	9606.ENSP00000293831	9606.ENSP00000498083	0	0	0	0	0	0	0	0.927	0.927
EMSY	ZMYND11	9606.ENSP00000433205	9606.ENSP00000371003	0	0	0	0	0.067	0.292	0	0.890	0.920
EMSY	ZNF131	9606.ENSP00000433205	9606.ENSP00000426504	0	0	0	0	0.082	0.292	0	0.698	0.787
ENTPD4	UCKL1	9606.ENSP00000351520	9606.ENSP00000346155	0	0	0	0	0.092	0	0.900	0.166	0.917
ENTPD4	ENTPD6	9606.ENSP00000351520	9606.ENSP00000365840	0	0	0	0.614	0.060	0.146	0.900	0.371	0.942
ENTPD6	UCKL1	9606.ENSP00000365840	9606.ENSP00000346155	0	0	0	0	0.180	0	0.900	0.218	0.930
ENTPD6	ENTPD4	9606.ENSP00000365840	9606.ENSP00000351520	0	0	0	0.614	0.060	0.146	0.900	0.371	0.942
EPS15	NUMBL	9606.ENSP00000360798	9606.ENSP00000252891	0	0	0	0	0	0.126	0	0.985	0.987
EPS15	FGFR2	9606.ENSP00000360798	9606.ENSP00000410294	0	0	0	0	0	0.109	0.650	0.121	0.702
EPS15	SYNRG	9606.ENSP00000360798	9606.ENSP00000483453	0	0	0	0	0.056	0	0.540	0.380	0.707
ETFB	FLAD1	9606.ENSP00000346173	9606.ENSP00000292180	0.052	0	0	0	0.111	0	0	0.718	0.742
ETFB	ACAD9	9606.ENSP00000346173	9606.ENSP00000312618	0.070	0	0	0	0.353	0.463	0.233	0.475	0.846
ETFB	METAP1D	9606.ENSP00000346173	9606.ENSP00000315152	0.218	0	0	0	0.086	0.797	0	0.324	0.888
FAAH	ABHD12	9606.ENSP00000243167	9606.ENSP00000365725	0	0	0	0	0.087	0	0	0.823	0.831
FDPS	SREBF1	9606.ENSP00000349078	9606.ENSP00000348069	0	0	0	0	0.124	0	0.500	0.530	0.776
FDPS	ACAT2	9606.ENSP00000349078	9606.ENSP00000356015	0	0	0	0	0.530	0	0	0.651	0.829
FGFR2	EPS15	9606.ENSP00000410294	9606.ENSP00000360798	0	0	0	0	0	0.109	0.650	0.121	0.702
FGFR2	SHC1	9606.ENSP00000410294	9606.ENSP00000401303	0	0	0	0	0.055	0.345	0.900	0.540	0.967
FGFR2	EFNA4	9606.ENSP00000410294	9606.ENSP00000414378	0	0	0	0	0	0	0.650	0.233	0.720
FLAD1	ETFB	9606.ENSP00000292180	9606.ENSP00000346173	0.052	0	0	0	0.111	0	0	0.718	0.742
FMNL3	RHOA	9606.ENSP00000335655	9606.ENSP00000400175	0	0	0	0	0.074	0.241	0.400	0.391	0.709
FOLH1	MUC1	9606.ENSP00000256999	9606.ENSP00000484824	0	0	0	0	0	0.045	0	0.757	0.758
FOLH1	KLK3	9606.ENSP00000256999	9606.ENSP00000314151	0	0	0	0	0.062	0	0	0.939	0.940
GALT	UGP2	9606.ENSP00000368119	9606.ENSP00000338703	0	0	0	0	0.060	0.614	0.918	0.606	0.986
GALT	IL11RA	9606.ENSP00000368119	9606.ENSP00000450565	0	0.550	0	0	0.276	0	0	0.803	0.930
GBF1	ARFGAP1	9606.ENSP00000359000	9606.ENSP00000314615	0	0	0	0	0.143	0.166	0.500	0.531	0.809
GBF1	PI4KB	9606.ENSP00000359000	9606.ENSP00000357869	0	0	0	0	0.164	0.084	0	0.690	0.742
GMPPB	DAG1	9606.ENSP00000309092	9606.ENSP00000442600	0	0	0	0	0.049	0	0	0.705	0.707
GPANK1	PRRC2A	9606.ENSP00000365071	9606.ENSP00000365201	0	0	0	0	0.060	0	0	0.715	0.720
GPANK1	APOM	9606.ENSP00000365071	9606.ENSP00000365081	0	0	0	0	0.065	0	0	0.967	0.967
GPC1	HS2ST1	9606.ENSP00000264039	9606.ENSP00000359581	0	0	0	0	0	0	0.400	0.566	0.728
GPC1	MUC1	9606.ENSP00000264039	9606.ENSP00000484824	0	0	0	0	0.059	0	0	0.744	0.748
GPSM3	EGFL8	9606.ENSP00000364183	9606.ENSP00000378888	0	0	0	0	0	0.071	0	0.720	0.729
GTF2H4	DDB2	9606.ENSP00000259895	9606.ENSP00000256996	0	0	0	0	0.098	0	0.500	0.396	0.703
GTF2H4	TCEA2	9606.ENSP00000259895	9606.ENSP00000343515	0	0	0	0	0.067	0.623	0	0.225	0.703
GTF2H4	ZNRD1	9606.ENSP00000259895	9606.ENSP00000331111	0	0.230	0	0	0.054	0.289	0.500	0	0.706
GTF2H4	H2BC11	9606.ENSP00000259895	9606.ENSP00000476136	0	0	0	0	0.042	0.805	0	0	0.806
GTF2H4	H4C14	9606.ENSP00000259895	9606.ENSP00000462667	0	0	0	0	0.042	0.839	0	0.047	0.840
GTF2H4	H4C8	9606.ENSP00000259895	9606.ENSP00000489236	0	0	0	0	0	0.839	0	0.047	0.840
GTF2H4	CCNT1	9606.ENSP00000259895	9606.ENSP00000261900	0	0	0	0	0.055	0	0.900	0.069	0.904
H2BC11	DDB2	9606.ENSP00000476136	9606.ENSP00000256996	0	0	0	0	0	0.815	0	0.137	0.833
H2BC11	GTF2H4	9606.ENSP00000476136	9606.ENSP00000259895	0	0	0	0	0.042	0.805	0	0	0.806
H2BC11	POU5F1	9606.ENSP00000476136	9606.ENSP00000259915	0	0	0	0	0.062	0.800	0	0.189	0.834
H2BC11	RUVBL1	9606.ENSP00000476136	9606.ENSP00000318297	0	0	0	0	0.047	0.867	0.500	0.287	0.948
H2BC11	RNF40	9606.ENSP00000476136	9606.ENSP00000325677	0	0	0	0	0	0.123	0.500	0.771	0.891
H2BC11	VPS72	9606.ENSP00000476136	9606.ENSP00000346464	0	0	0	0	0.055	0.900	0	0.178	0.915
H2BC11	TRRAP	9606.ENSP00000476136	9606.ENSP00000352925	0	0	0	0	0	0.053	0.500	0.447	0.715
H2BC11	H4C14	9606.ENSP00000476136	9606.ENSP00000462667	0	0.065	0	0	0.465	0.915	0.540	0.259	0.983
H2BC11	ANP32E	9606.ENSP00000476136	9606.ENSP00000463154	0	0	0	0	0.048	0.946	0	0	0.947
H2BC11	H4C8	9606.ENSP00000476136	9606.ENSP00000489236	0	0.065	0	0	0.559	0.915	0.540	0.213	0.985
H4C14	DDB2	9606.ENSP00000462667	9606.ENSP00000256996	0	0	0	0	0	0.816	0	0.096	0.827
H4C14	GTF2H4	9606.ENSP00000462667	9606.ENSP00000259895	0	0	0	0	0.042	0.839	0	0.047	0.840
H4C14	POU5F1	9606.ENSP00000462667	9606.ENSP00000259915	0	0	0	0	0	0.802	0	0.064	0.807
H4C14	RUVBL1	9606.ENSP00000462667	9606.ENSP00000318297	0	0	0	0	0	0.851	0	0.105	0.861
H4C14	SMARCD1	9606.ENSP00000462667	9606.ENSP00000378414	0	0	0	0	0	0.846	0	0	0.846
H4C14	BRD2	9606.ENSP00000462667	9606.ENSP00000378702	0	0	0	0	0.044	0.916	0	0.133	0.924
H4C14	H4C8	9606.ENSP00000462667	9606.ENSP00000489236	0	0	0.049	0.983	0.623	0.900	0.540	0	0.981
H4C14	H2BC11	9606.ENSP00000462667	9606.ENSP00000476136	0	0.065	0	0	0.465	0.915	0.540	0.259	0.983
H4C8	DDB2	9606.ENSP00000489236	9606.ENSP00000256996	0	0	0	0	0	0.816	0	0.096	0.827
H4C8	GTF2H4	9606.ENSP00000489236	9606.ENSP00000259895	0	0	0	0	0	0.839	0	0.047	0.840
H4C8	POU5F1	9606.ENSP00000489236	9606.ENSP00000259915	0	0	0	0	0.045	0.802	0	0.064	0.808
H4C8	RUVBL1	9606.ENSP00000489236	9606.ENSP00000318297	0	0	0	0	0.042	0.851	0	0.111	0.862
H4C8	SMARCD1	9606.ENSP00000489236	9606.ENSP00000378414	0	0	0	0	0	0.846	0	0	0.846
H4C8	BRD2	9606.ENSP00000489236	9606.ENSP00000378702	0	0	0	0	0.042	0.916	0	0.116	0.923
H4C8	H4C14	9606.ENSP00000489236	9606.ENSP00000462667	0	0	0.049	0.983	0.623	0.900	0.540	0	0.981
H4C8	H2BC11	9606.ENSP00000489236	9606.ENSP00000476136	0	0.065	0	0	0.559	0.915	0.540	0.213	0.985
HCK	ADAM15	9606.ENSP00000365012	9606.ENSP00000349436	0	0	0	0	0	0.578	0	0.456	0.761
HCK	SHC1	9606.ENSP00000365012	9606.ENSP00000401303	0	0	0	0	0.067	0.073	0.900	0.555	0.956
HIBADH	ACSS2	9606.ENSP00000265395	9606.ENSP00000253382	0	0	0	0	0.104	0	0.800	0.145	0.833
HLA-A	HLA-DQA1	9606.ENSP00000379873	9606.ENSP00000339398	0	0	0	0	0.098	0.189	0.540	0.930	0.973
HLA-A	HLA-DRB1	9606.ENSP00000379873	9606.ENSP00000353099	0	0	0	0.614	0.134	0	0.900	0.393	0.942
HLA-A	HLA-DMA	9606.ENSP00000379873	9606.ENSP00000363976	0	0	0	0	0.244	0	0.900	0.593	0.966
HLA-A	PSMB9	9606.ENSP00000379873	9606.ENSP00000363993	0	0	0	0	0.429	0	0	0.620	0.773
HLA-A	HLA-DQB1	9606.ENSP00000379873	9606.ENSP00000364080	0	0	0	0.621	0.134	0.482	0.540	0.379	0.854
HLA-A	HLA-C	9606.ENSP00000379873	9606.ENSP00000365402	0	0	0.050	0.980	0.772	0.596	0.900	0.848	0.998
HLA-A	HLA-E	9606.ENSP00000379873	9606.ENSP00000365817	0	0	0.051	0.978	0.783	0.217	0.900	0.460	0.989
HLA-A	HLA-G	9606.ENSP00000379873	9606.ENSP00000366024	0	0	0.050	0.981	0.534	0.476	0.650	0.454	0.947
HLA-A	HLA-DRA	9606.ENSP00000379873	9606.ENSP00000378786	0	0	0	0.614	0.263	0	0.900	0.383	0.950
HLA-A	NDUFA6	9606.ENSP00000379873	9606.ENSP00000482543	0	0	0	0	0	0	0	0.705	0.705
HLA-A	C4A	9606.ENSP00000379873	9606.ENSP00000396688	0	0	0	0	0.067	0	0	0.755	0.761
HLA-A	HLA-DMB	9606.ENSP00000379873	9606.ENSP00000398890	0	0	0	0.635	0.215	0	0.900	0.200	0.931
HLA-A	HLA-B	9606.ENSP00000379873	9606.ENSP00000399168	0	0	0.049	0.982	0.999	0.316	0.900	0.823	0.999
HLA-B	HLA-DQA1	9606.ENSP00000399168	9606.ENSP00000339398	0	0	0	0.596	0.100	0.089	0.540	0.408	0.746
HLA-B	HLA-DRB1	9606.ENSP00000399168	9606.ENSP00000353099	0	0	0	0.619	0.168	0	0.900	0.602	0.963
HLA-B	HLA-DMA	9606.ENSP00000399168	9606.ENSP00000363976	0	0	0	0	0.332	0	0.900	0.755	0.982
HLA-B	PSMB9	9606.ENSP00000399168	9606.ENSP00000363993	0	0	0	0	0.537	0	0	0.582	0.798
HLA-B	HLA-DQB1	9606.ENSP00000399168	9606.ENSP00000364080	0	0	0	0.627	0.148	0.143	0.540	0.378	0.763
HLA-B	HLA-C	9606.ENSP00000399168	9606.ENSP00000365402	0	0	0.049	0.982	0.782	0.605	0.900	0.869	0.998
HLA-B	HLA-E	9606.ENSP00000399168	9606.ENSP00000365817	0	0	0.052	0.977	0.782	0.471	0.900	0.575	0.994
HLA-B	HLA-G	9606.ENSP00000399168	9606.ENSP00000366024	0	0	0.051	0.979	0.674	0.421	0.650	0.457	0.959
HLA-B	HLA-DRA	9606.ENSP00000399168	9606.ENSP00000378786	0	0	0	0.610	0.443	0	0.900	0.596	0.975
HLA-B	HLA-A	9606.ENSP00000399168	9606.ENSP00000379873	0	0	0.049	0.982	0.999	0.316	0.900	0.823	0.999
HLA-B	C4A	9606.ENSP00000399168	9606.ENSP00000396688	0	0	0	0	0.083	0	0	0.870	0.875
HLA-B	HLA-DMB	9606.ENSP00000399168	9606.ENSP00000398890	0	0	0	0.627	0.310	0	0.900	0.538	0.965
HLA-C	HLA-DQA1	9606.ENSP00000365402	9606.ENSP00000339398	0	0	0	0	0.081	0.126	0.540	0.870	0.945
HLA-C	HLA-DRB1	9606.ENSP00000365402	9606.ENSP00000353099	0	0	0	0.600	0.134	0.134	0.900	0.617	0.967
HLA-C	HLA-DMA	9606.ENSP00000365402	9606.ENSP00000363976	0	0	0	0	0.140	0	0.900	0.732	0.974
HLA-C	HLA-DQB1	9606.ENSP00000365402	9606.ENSP00000364080	0	0	0	0.612	0.091	0.164	0.540	0.580	0.833
HLA-C	TCF19	9606.ENSP00000365402	9606.ENSP00000365433	0	0	0	0	0.042	0	0	0.757	0.757
HLA-C	CCHCR1	9606.ENSP00000365402	9606.ENSP00000379566	0	0	0	0	0.047	0	0	0.852	0.852
HLA-C	HLA-G	9606.ENSP00000365402	9606.ENSP00000366024	0	0	0.051	0.978	0.450	0.629	0.650	0.386	0.950
HLA-C	HLA-DMB	9606.ENSP00000365402	9606.ENSP00000398890	0	0	0	0.627	0.128	0	0.900	0.479	0.950
HLA-C	HLA-DRA	9606.ENSP00000365402	9606.ENSP00000378786	0	0	0	0.609	0.194	0	0.900	0.555	0.961
HLA-C	HLA-E	9606.ENSP00000365402	9606.ENSP00000365817	0	0	0.052	0.976	0.437	0.598	0.900	0.570	0.989
HLA-C	HLA-A	9606.ENSP00000365402	9606.ENSP00000379873	0	0	0.050	0.980	0.772	0.596	0.900	0.848	0.998
HLA-C	HLA-B	9606.ENSP00000365402	9606.ENSP00000399168	0	0	0.049	0.982	0.782	0.605	0.900	0.869	0.998
HLA-DMA	HLA-DQA1	9606.ENSP00000363976	9606.ENSP00000339398	0	0	0.128	0.721	0.451	0	0.650	0.499	0.904
HLA-DMA	HLA-DRB1	9606.ENSP00000363976	9606.ENSP00000353099	0	0	0	0	0.381	0.956	0.900	0.760	0.999
HLA-DMA	HLA-G	9606.ENSP00000363976	9606.ENSP00000366024	0	0	0	0	0.179	0	0.540	0.472	0.783
HLA-DMA	BRD2	9606.ENSP00000363976	9606.ENSP00000378702	0	0	0	0	0.056	0	0	0.860	0.862
HLA-DMA	HLA-DQB2	9606.ENSP00000363976	9606.ENSP00000396330	0	0	0	0	0.372	0.260	0.540	0.700	0.927
HLA-DMA	HLA-DQB1	9606.ENSP00000363976	9606.ENSP00000364080	0	0	0.204	0	0.529	0.260	0.540	0.674	0.950
HLA-DMA	HLA-E	9606.ENSP00000363976	9606.ENSP00000365817	0	0	0	0	0.256	0	0.900	0.571	0.965
HLA-DMA	HLA-A	9606.ENSP00000363976	9606.ENSP00000379873	0	0	0	0	0.244	0	0.900	0.593	0.966
HLA-DMA	HLA-C	9606.ENSP00000363976	9606.ENSP00000365402	0	0	0	0	0.140	0	0.900	0.732	0.974
HLA-DMA	HLA-B	9606.ENSP00000363976	9606.ENSP00000399168	0	0	0	0	0.332	0	0.900	0.755	0.982
HLA-DMA	HLA-DRA	9606.ENSP00000363976	9606.ENSP00000378786	0	0	0	0.707	0.891	0.962	0.900	0.291	0.999
HLA-DMA	HLA-DMB	9606.ENSP00000363976	9606.ENSP00000398890	0	0.349	0	0	0.999	0.980	0.900	0.995	0.999
HLA-DMB	HLA-DQA1	9606.ENSP00000398890	9606.ENSP00000339398	0	0	0	0.633	0.447	0.191	0.650	0.451	0.902
HLA-DMB	HLA-DRB1	9606.ENSP00000398890	9606.ENSP00000353099	0	0	0.097	0.660	0.378	0.952	0.900	0.234	0.997
HLA-DMB	HLA-DMA	9606.ENSP00000398890	9606.ENSP00000363976	0	0.349	0	0	0.999	0.980	0.900	0.995	0.999
HLA-DMB	HLA-DQB1	9606.ENSP00000398890	9606.ENSP00000364080	0	0	0	0.659	0.526	0.435	0.540	0.491	0.928
HLA-DMB	HLA-C	9606.ENSP00000398890	9606.ENSP00000365402	0	0	0	0.627	0.128	0	0.900	0.479	0.950
HLA-DMB	HLA-E	9606.ENSP00000398890	9606.ENSP00000365817	0	0	0	0.628	0.211	0	0.900	0.202	0.931
HLA-DMB	HLA-DRA	9606.ENSP00000398890	9606.ENSP00000378786	0	0	0	0.659	0.880	0.971	0.900	0.526	0.999
HLA-DMB	HLA-A	9606.ENSP00000398890	9606.ENSP00000379873	0	0	0	0.635	0.215	0	0.900	0.200	0.931
HLA-DMB	HLA-DQB2	9606.ENSP00000398890	9606.ENSP00000396330	0	0	0	0.658	0.344	0.400	0.540	0.235	0.843
HLA-DMB	HLA-B	9606.ENSP00000398890	9606.ENSP00000399168	0	0	0	0.627	0.310	0	0.900	0.538	0.965
HLA-DQA1	PSMB9	9606.ENSP00000339398	9606.ENSP00000363993	0	0	0	0	0.223	0	0	0.638	0.707
HLA-DQA1	HLA-B	9606.ENSP00000339398	9606.ENSP00000399168	0	0	0	0.596	0.100	0.089	0.540	0.408	0.746
HLA-DQA1	HLA-G	9606.ENSP00000339398	9606.ENSP00000366024	0	0	0	0	0.084	0	0.540	0.476	0.759
HLA-DQA1	HLA-DRA	9606.ENSP00000339398	9606.ENSP00000378786	0	0	0.065	0.948	0.477	0.128	0.650	0.086	0.838
HLA-DQA1	HLA-E	9606.ENSP00000339398	9606.ENSP00000365817	0	0	0	0	0.110	0	0.540	0.646	0.842
HLA-DQA1	HLA-DQB2	9606.ENSP00000339398	9606.ENSP00000396330	0	0	0	0.653	0.411	0.417	0.540	0.269	0.869
HLA-DQA1	HLA-DMB	9606.ENSP00000339398	9606.ENSP00000398890	0	0	0	0.633	0.447	0.191	0.650	0.451	0.902
HLA-DQA1	HLA-DMA	9606.ENSP00000339398	9606.ENSP00000363976	0	0	0.128	0.721	0.451	0	0.650	0.499	0.904
HLA-DQA1	HLA-C	9606.ENSP00000339398	9606.ENSP00000365402	0	0	0	0	0.081	0.126	0.540	0.870	0.945
HLA-DQA1	HLA-A	9606.ENSP00000339398	9606.ENSP00000379873	0	0	0	0	0.098	0.189	0.540	0.930	0.973
HLA-DQA1	HLA-DRB1	9606.ENSP00000339398	9606.ENSP00000353099	0	0	0	0.641	0.378	0.362	0.540	0.959	0.991
HLA-DQA1	HLA-DQB1	9606.ENSP00000339398	9606.ENSP00000364080	0	0	0	0.637	0.812	0.989	0.540	0.947	0.999
HLA-DQB1	HLA-DQA1	9606.ENSP00000364080	9606.ENSP00000339398	0	0	0	0.637	0.812	0.989	0.540	0.947	0.999
HLA-DQB1	HLA-DRB1	9606.ENSP00000364080	9606.ENSP00000353099	0	0	0.059	0.962	0.336	0.205	0.540	0.076	0.750
HLA-DQB1	HLA-DMA	9606.ENSP00000364080	9606.ENSP00000363976	0	0	0.204	0	0.529	0.260	0.540	0.674	0.950
HLA-DQB1	BTNL2	9606.ENSP00000364080	9606.ENSP00000390613	0	0	0	0	0.067	0.129	0	0.726	0.758
HLA-DQB1	HLA-B	9606.ENSP00000364080	9606.ENSP00000399168	0	0	0	0.627	0.148	0.143	0.540	0.378	0.763
HLA-DQB1	HLA-C	9606.ENSP00000364080	9606.ENSP00000365402	0	0	0	0.612	0.091	0.164	0.540	0.580	0.833
HLA-DQB1	HLA-A	9606.ENSP00000364080	9606.ENSP00000379873	0	0	0	0.621	0.134	0.482	0.540	0.379	0.854
HLA-DQB1	HLA-DMB	9606.ENSP00000364080	9606.ENSP00000398890	0	0	0	0.659	0.526	0.435	0.540	0.491	0.928
HLA-DQB1	HLA-DRA	9606.ENSP00000364080	9606.ENSP00000378786	0	0	0	0.637	0.603	0.729	0.540	0.572	0.976
HLA-DQB2	HLA-DQA1	9606.ENSP00000396330	9606.ENSP00000339398	0	0	0	0.653	0.411	0.417	0.540	0.269	0.869
HLA-DQB2	HLA-DRB1	9606.ENSP00000396330	9606.ENSP00000353099	0	0	0.060	0.961	0.215	0	0.540	0.390	0.765
HLA-DQB2	HLA-DMA	9606.ENSP00000396330	9606.ENSP00000363976	0	0	0	0	0.372	0.260	0.540	0.700	0.927
HLA-DQB2	HLA-DRA	9606.ENSP00000396330	9606.ENSP00000378786	0	0	0	0.656	0.380	0.700	0.540	0.617	0.962
HLA-DQB2	HLA-DMB	9606.ENSP00000396330	9606.ENSP00000398890	0	0	0	0.658	0.344	0.400	0.540	0.235	0.843
HLA-DRA	RFX5	9606.ENSP00000378786	9606.ENSP00000290524	0	0	0	0	0.136	0.422	0	0.715	0.845
HLA-DRA	HLA-DQA1	9606.ENSP00000378786	9606.ENSP00000339398	0	0	0.065	0.948	0.477	0.128	0.650	0.086	0.838
HLA-DRA	HLA-DRB1	9606.ENSP00000378786	9606.ENSP00000353099	0	0	0	0.638	0.690	0.995	0.900	0.968	0.999
HLA-DRA	HLA-DMA	9606.ENSP00000378786	9606.ENSP00000363976	0	0	0	0.707	0.891	0.962	0.900	0.291	0.999
HLA-DRA	HLA-DQB1	9606.ENSP00000378786	9606.ENSP00000364080	0	0	0	0.637	0.603	0.729	0.540	0.572	0.976
HLA-DRA	HLA-C	9606.ENSP00000378786	9606.ENSP00000365402	0	0	0	0.609	0.194	0	0.900	0.555	0.961
HLA-DRA	HLA-E	9606.ENSP00000378786	9606.ENSP00000365817	0	0	0	0	0.289	0	0.900	0.599	0.969
HLA-DRA	BTNL2	9606.ENSP00000378786	9606.ENSP00000390613	0	0	0	0	0.051	0.128	0	0.749	0.774
HLA-DRA	HLA-A	9606.ENSP00000378786	9606.ENSP00000379873	0	0	0	0.614	0.263	0	0.900	0.383	0.950
HLA-DRA	HLA-DQB2	9606.ENSP00000378786	9606.ENSP00000396330	0	0	0	0.656	0.380	0.700	0.540	0.617	0.962
HLA-DRA	HLA-B	9606.ENSP00000378786	9606.ENSP00000399168	0	0	0	0.610	0.443	0	0.900	0.596	0.975
HLA-DRA	HLA-DMB	9606.ENSP00000378786	9606.ENSP00000398890	0	0	0	0.659	0.880	0.971	0.900	0.526	0.999
HLA-DRB1	HLA-DQA1	9606.ENSP00000353099	9606.ENSP00000339398	0	0	0	0.641	0.378	0.362	0.540	0.959	0.991
HLA-DRB1	HLA-G	9606.ENSP00000353099	9606.ENSP00000366024	0	0	0	0.605	0.100	0.129	0.540	0.291	0.710
HLA-DRB1	HLA-DQB1	9606.ENSP00000353099	9606.ENSP00000364080	0	0	0.059	0.962	0.336	0.205	0.540	0.076	0.750
HLA-DRB1	C4A	9606.ENSP00000353099	9606.ENSP00000396688	0	0	0	0	0.069	0	0	0.754	0.761
HLA-DRB1	HLA-DQB2	9606.ENSP00000353099	9606.ENSP00000396330	0	0	0.060	0.961	0.215	0	0.540	0.390	0.765
HLA-DRB1	BTNL2	9606.ENSP00000353099	9606.ENSP00000390613	0	0	0	0	0.067	0.128	0	0.825	0.845
HLA-DRB1	HLA-E	9606.ENSP00000353099	9606.ENSP00000365817	0	0	0	0.598	0.142	0.166	0.900	0.254	0.939
HLA-DRB1	HLA-A	9606.ENSP00000353099	9606.ENSP00000379873	0	0	0	0.614	0.134	0	0.900	0.393	0.942
HLA-DRB1	HLA-B	9606.ENSP00000353099	9606.ENSP00000399168	0	0	0	0.619	0.168	0	0.900	0.602	0.963
HLA-DRB1	HLA-C	9606.ENSP00000353099	9606.ENSP00000365402	0	0	0	0.600	0.134	0.134	0.900	0.617	0.967
HLA-DRB1	HLA-DMB	9606.ENSP00000353099	9606.ENSP00000398890	0	0	0.097	0.660	0.378	0.952	0.900	0.234	0.997
HLA-DRB1	HLA-DMA	9606.ENSP00000353099	9606.ENSP00000363976	0	0	0	0	0.381	0.956	0.900	0.760	0.999
HLA-DRB1	HLA-DRA	9606.ENSP00000353099	9606.ENSP00000378786	0	0	0	0.638	0.690	0.995	0.900	0.968	0.999
HLA-E	HLA-DQA1	9606.ENSP00000365817	9606.ENSP00000339398	0	0	0	0	0.110	0	0.540	0.646	0.842
HLA-E	HLA-DRB1	9606.ENSP00000365817	9606.ENSP00000353099	0	0	0	0.598	0.142	0.166	0.900	0.254	0.939
HLA-E	HLA-DMA	9606.ENSP00000365817	9606.ENSP00000363976	0	0	0	0	0.256	0	0.900	0.571	0.965
HLA-E	HLA-C	9606.ENSP00000365817	9606.ENSP00000365402	0	0	0.052	0.976	0.437	0.598	0.900	0.570	0.989
HLA-E	HLA-DMB	9606.ENSP00000365817	9606.ENSP00000398890	0	0	0	0.628	0.211	0	0.900	0.202	0.931
HLA-E	HLA-DRA	9606.ENSP00000365817	9606.ENSP00000378786	0	0	0	0	0.289	0	0.900	0.599	0.969
HLA-E	HLA-G	9606.ENSP00000365817	9606.ENSP00000366024	0	0	0.052	0.977	0.434	0.593	0.650	0.781	0.980
HLA-E	HLA-A	9606.ENSP00000365817	9606.ENSP00000379873	0	0	0.051	0.978	0.783	0.217	0.900	0.460	0.989
HLA-E	HLA-B	9606.ENSP00000365817	9606.ENSP00000399168	0	0	0.052	0.977	0.782	0.471	0.900	0.575	0.994
HLA-G	HLA-DQA1	9606.ENSP00000366024	9606.ENSP00000339398	0	0	0	0	0.084	0	0.540	0.476	0.759
HLA-G	HLA-DRB1	9606.ENSP00000366024	9606.ENSP00000353099	0	0	0	0.605	0.100	0.129	0.540	0.291	0.710
HLA-G	HLA-DMA	9606.ENSP00000366024	9606.ENSP00000363976	0	0	0	0	0.179	0	0.540	0.472	0.783
HLA-G	HLA-C	9606.ENSP00000366024	9606.ENSP00000365402	0	0	0.051	0.978	0.450	0.629	0.650	0.386	0.950
HLA-G	HLA-E	9606.ENSP00000366024	9606.ENSP00000365817	0	0	0.052	0.977	0.434	0.593	0.650	0.781	0.980
HLA-G	HLA-A	9606.ENSP00000366024	9606.ENSP00000379873	0	0	0.050	0.981	0.534	0.476	0.650	0.454	0.947
HLA-G	HLA-B	9606.ENSP00000366024	9606.ENSP00000399168	0	0	0.051	0.979	0.674	0.421	0.650	0.457	0.959
HM13	ABHD16A	9606.ENSP00000381237	9606.ENSP00000379282	0	0	0	0	0.097	0.421	0	0.492	0.711
HNF1B	SOX9	9606.ENSP00000480291	9606.ENSP00000245479	0	0	0	0	0.085	0.292	0	0.581	0.705
HOXA10	HOXA3	9606.ENSP00000283921	9606.ENSP00000484411	0	0	0	0.605	0.487	0.134	0	0.446	0.732
HOXA10	HOXA13	9606.ENSP00000283921	9606.ENSP00000497112	0	0	0	0.603	0.487	0	0	0.595	0.784
HOXA10	PBX2	9606.ENSP00000283921	9606.ENSP00000364190	0	0	0	0	0	0.291	0	0.795	0.848
HOXA10	HOXA9	9606.ENSP00000283921	9606.ENSP00000343619	0	0	0	0.774	0.905	0	0	0.300	0.931
